IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.66.216.131,4,4,0.00,185.57,0.00
104.25.57.176,4,4,0.00,185.57,0.00
104.24.89.101,4,4,0.00,185.61,0.00
104.27.44.64,4,4,0.00,185.80,0.00
104.24.131.18,4,4,0.00,185.85,0.00
104.19.3.95,4,4,0.00,185.85,0.00
172.67.245.222,4,4,0.00,185.85,0.00
104.25.85.2,4,4,0.00,185.87,0.00
104.24.178.3,4,4,0.00,185.87,0.00
104.16.82.176,4,4,0.00,185.93,0.00
104.25.64.106,4,4,0.00,185.94,0.00
104.25.94.73,4,4,0.00,185.99,0.00
104.27.100.104,4,4,0.00,186.03,0.00
172.65.157.122,4,4,0.00,186.05,0.00
104.16.114.225,4,4,0.00,186.06,0.00
104.19.73.168,4,4,0.00,186.09,0.00
104.27.113.244,4,4,0.00,186.10,0.00
104.16.147.161,4,4,0.00,186.15,0.00
104.20.123.184,4,4,0.00,186.19,0.00
104.22.47.100,4,4,0.00,186.25,0.00
104.27.71.100,4,4,0.00,186.26,0.00
104.24.139.78,4,4,0.00,186.26,0.00
172.64.155.253,4,4,0.00,186.29,0.00
104.17.132.22,4,4,0.00,186.31,0.00
108.162.198.246,4,4,0.00,186.35,0.00
104.24.169.220,4,4,0.00,186.36,0.00
172.66.3.235,4,4,0.00,186.36,0.00
172.66.130.143,4,4,0.00,186.36,0.00
104.24.226.162,4,4,0.00,186.37,0.00
104.20.195.224,4,4,0.00,186.40,0.00
104.25.134.158,4,4,0.00,186.40,0.00
104.19.186.10,4,4,0.00,186.41,0.00
104.19.180.191,4,4,0.00,186.46,0.00
141.101.123.20,4,4,0.00,186.47,0.00
172.65.15.57,4,4,0.00,186.48,0.00
104.16.173.151,4,4,0.00,186.54,0.00
104.27.28.48,4,4,0.00,186.56,0.00
104.27.123.247,4,4,0.00,186.57,0.00
104.25.111.223,4,4,0.00,186.59,0.00
172.67.5.42,4,4,0.00,186.61,0.00
104.23.123.46,4,4,0.00,186.62,0.00
104.27.96.74,4,4,0.00,186.64,0.00
172.65.81.179,4,4,0.00,186.67,0.00
172.67.90.32,4,4,0.00,186.71,0.00
104.19.197.145,4,4,0.00,186.74,0.00
172.66.150.32,4,4,0.00,186.74,0.00
172.67.111.210,4,4,0.00,186.76,0.00
104.27.58.70,4,4,0.00,186.76,0.00
104.24.216.53,4,4,0.00,186.76,0.00
104.16.112.183,4,4,0.00,186.77,0.00
104.20.216.127,4,4,0.00,186.81,0.00
104.20.50.71,4,4,0.00,186.83,0.00
104.24.219.193,4,4,0.00,186.83,0.00
104.25.20.24,4,4,0.00,186.85,0.00
172.65.173.41,4,4,0.00,186.90,0.00
104.24.30.242,4,4,0.00,186.93,0.00
172.67.87.104,4,4,0.00,186.94,0.00
172.64.35.222,4,4,0.00,186.95,0.00
