IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.25.184.80,4,4,0.00,187.16,0.00
104.24.95.129,4,4,0.00,187.17,0.00
104.24.191.200,4,4,0.00,187.41,0.00
172.67.191.77,4,4,0.00,187.44,0.00
104.25.219.16,4,4,0.00,187.44,0.00
104.25.93.248,4,4,0.00,187.45,0.00
104.25.217.229,4,4,0.00,187.49,0.00
104.24.18.253,4,4,0.00,187.51,0.00
172.65.65.162,4,4,0.00,187.60,0.00
104.25.156.55,4,4,0.00,187.62,0.00
172.66.214.150,4,4,0.00,187.63,0.00
172.67.123.148,4,4,0.00,187.85,0.00
104.25.212.34,4,4,0.00,187.89,0.00
172.66.145.198,4,4,0.00,187.89,0.00
172.65.23.119,4,4,0.00,187.90,0.00
172.66.198.46,4,4,0.00,187.97,0.00
104.24.192.199,4,4,0.00,187.98,0.00
172.67.167.50,4,4,0.00,187.99,0.00
104.22.33.227,4,4,0.00,188.00,0.00
104.24.37.187,4,4,0.00,188.07,0.00
172.66.193.134,4,4,0.00,188.08,0.00
172.65.88.23,4,4,0.00,188.09,0.00
104.25.135.69,4,4,0.00,188.10,0.00
104.25.227.57,4,4,0.00,188.11,0.00
172.67.180.242,4,4,0.00,188.13,0.00
172.65.134.11,4,4,0.00,188.20,0.00
104.25.209.244,4,4,0.00,188.21,0.00
104.21.215.247,4,4,0.00,188.23,0.00
104.25.178.25,4,4,0.00,188.24,0.00
104.27.10.135,4,4,0.00,188.28,0.00
172.65.94.5,4,4,0.00,188.32,0.00
172.67.164.226,4,4,0.00,188.34,0.00
172.65.220.230,4,4,0.00,188.39,0.00
104.24.243.2,4,4,0.00,188.43,0.00
172.67.30.149,4,4,0.00,188.46,0.00
104.25.142.185,4,4,0.00,188.47,0.00
172.65.196.115,4,4,0.00,188.50,0.00
104.21.108.243,4,4,0.00,188.54,0.00
104.24.47.253,4,4,0.00,188.57,0.00
172.67.97.74,4,4,0.00,188.58,0.00
104.24.170.47,4,4,0.00,188.70,0.00
104.23.104.251,4,4,0.00,188.71,0.00
104.25.12.81,4,4,0.00,188.73,0.00
104.24.150.248,4,4,0.00,188.75,0.00
104.27.108.124,4,4,0.00,188.75,0.00
172.66.1.202,4,4,0.00,188.77,0.00
104.22.41.158,4,4,0.00,188.77,0.00
172.67.41.78,4,4,0.00,188.78,0.00
104.24.19.202,4,4,0.00,188.81,0.00
172.67.157.11,4,4,0.00,188.82,0.00
104.21.198.93,4,4,0.00,188.82,0.00
104.25.246.129,4,4,0.00,188.82,0.00
172.64.144.208,4,4,0.00,188.84,0.00
172.65.172.103,4,4,0.00,188.87,0.00
172.65.67.204,4,4,0.00,188.89,0.00
172.65.36.116,4,4,0.00,188.89,0.00
172.65.221.238,4,4,0.00,188.89,0.00
104.24.143.150,4,4,0.00,188.90,0.00
172.65.113.181,4,4,0.00,188.91,0.00
172.66.130.60,4,4,0.00,188.91,0.00
104.25.24.39,4,4,0.00,188.95,0.00
104.24.36.39,4,4,0.00,188.97,0.00
172.65.1.30,4,4,0.00,188.97,0.00
104.22.25.167,4,4,0.00,188.97,0.00
172.67.211.253,4,4,0.00,188.99,0.00
172.67.116.236,4,4,0.00,188.99,0.00
172.65.206.59,4,4,0.00,188.99,0.00
104.23.105.14,4,4,0.00,189.01,0.00
104.24.89.121,4,4,0.00,189.02,0.00
172.65.58.129,4,4,0.00,189.06,0.00
104.21.208.0,4,4,0.00,189.11,0.00
104.22.14.126,4,4,0.00,189.12,0.00
104.24.14.217,4,4,0.00,189.12,0.00
172.66.217.224,4,4,0.00,189.12,0.00
172.65.106.21,4,4,0.00,189.14,0.00
104.25.116.223,4,4,0.00,189.15,0.00
104.24.159.96,4,4,0.00,189.16,0.00
104.27.124.42,4,4,0.00,189.22,0.00
104.24.247.239,4,4,0.00,189.22,0.00
104.25.111.99,4,4,0.00,189.24,0.00
172.65.187.147,4,4,0.00,189.25,0.00
172.67.214.11,4,4,0.00,189.26,0.00
172.67.29.73,4,4,0.00,189.29,0.00
104.24.2.160,4,4,0.00,189.32,0.00
104.27.77.107,4,4,0.00,189.35,0.00
172.67.241.229,4,4,0.00,189.36,0.00
172.67.251.176,4,4,0.00,189.40,0.00
172.66.40.118,4,4,0.00,189.40,0.00
104.23.102.100,4,4,0.00,189.41,0.00
172.64.42.159,4,4,0.00,189.42,0.00
104.25.43.29,4,4,0.00,189.47,0.00
104.25.199.215,4,4,0.00,189.48,0.00
104.24.69.180,4,4,0.00,189.54,0.00
104.24.68.22,4,4,0.00,189.54,0.00
104.27.21.76,4,4,0.00,189.55,0.00
104.21.113.73,4,4,0.00,189.58,0.00
104.24.166.51,4,4,0.00,189.59,0.00
104.21.99.157,4,4,0.00,189.60,0.00
104.27.36.170,4,4,0.00,189.62,0.00
172.67.96.23,4,4,0.00,189.63,0.00
104.22.50.139,4,4,0.00,189.69,0.00
104.27.119.17,4,4,0.00,189.71,0.00
172.65.103.119,4,4,0.00,189.73,0.00
172.65.131.94,4,4,0.00,189.79,0.00
172.65.123.133,4,4,0.00,189.81,0.00
104.24.177.140,4,4,0.00,189.81,0.00
172.67.139.119,4,4,0.00,189.81,0.00
172.65.240.235,4,4,0.00,189.83,0.00
104.27.82.75,4,4,0.00,189.88,0.00
104.25.147.24,4,4,0.00,189.89,0.00
172.67.13.201,4,4,0.00,189.89,0.00
104.21.101.55,4,4,0.00,189.89,0.00
104.27.43.76,4,4,0.00,189.92,0.00
172.67.250.118,4,4,0.00,189.92,0.00
172.65.216.163,4,4,0.00,189.93,0.00
172.67.26.97,4,4,0.00,189.94,0.00
104.21.118.236,4,4,0.00,189.95,0.00
172.65.138.223,4,4,0.00,189.96,0.00
104.24.219.135,4,4,0.00,189.96,0.00
104.25.11.214,4,4,0.00,189.97,0.00
172.67.81.179,4,4,0.00,190.00,0.00
104.24.221.82,4,4,0.00,190.01,0.00
172.67.19.75,4,4,0.00,190.04,0.00
172.67.109.118,4,4,0.00,190.10,0.00
104.21.93.154,4,4,0.00,190.11,0.00
104.27.18.110,4,4,0.00,190.12,0.00
104.25.255.208,4,4,0.00,190.12,0.00
104.25.68.39,4,4,0.00,190.13,0.00
172.66.142.27,4,4,0.00,190.13,0.00
104.24.224.228,4,4,0.00,190.14,0.00
104.24.237.36,4,4,0.00,190.18,0.00
104.27.47.189,4,4,0.00,190.19,0.00
104.24.1.107,4,4,0.00,190.20,0.00
104.21.196.29,4,4,0.00,190.23,0.00
104.21.203.46,4,4,0.00,190.25,0.00
172.65.13.157,4,4,0.00,190.26,0.00
172.64.229.179,4,4,0.00,190.27,0.00
104.27.48.109,4,4,0.00,190.31,0.00
172.65.83.7,4,4,0.00,190.31,0.00
172.67.220.217,4,4,0.00,190.34,0.00
104.24.93.93,4,4,0.00,190.36,0.00
172.66.205.183,4,4,0.00,190.36,0.00
104.27.197.170,4,4,0.00,190.39,0.00
172.67.92.121,4,4,0.00,190.41,0.00
104.25.208.239,4,4,0.00,190.41,0.00
104.21.114.198,4,4,0.00,190.41,0.00
104.22.30.139,4,4,0.00,190.42,0.00
104.21.102.76,4,4,0.00,190.49,0.00
172.65.34.196,4,4,0.00,190.51,0.00
104.22.18.253,4,4,0.00,190.51,0.00
104.25.146.23,4,4,0.00,190.52,0.00
104.24.164.240,4,4,0.00,190.54,0.00
172.64.90.135,4,4,0.00,190.59,0.00
172.65.32.133,4,4,0.00,190.60,0.00
172.65.43.184,4,4,0.00,190.66,0.00
172.67.106.87,4,4,0.00,190.66,0.00
104.25.20.99,4,4,0.00,190.67,0.00
104.23.120.48,4,4,0.00,190.69,0.00
172.67.223.18,4,4,0.00,190.71,0.00
104.21.125.249,4,4,0.00,190.75,0.00
172.67.174.233,4,4,0.00,190.75,0.00
172.67.240.90,4,4,0.00,190.75,0.00
104.25.107.171,4,4,0.00,190.80,0.00
172.66.156.0,4,4,0.00,190.81,0.00
104.22.23.115,4,4,0.00,190.88,0.00
104.25.35.206,4,4,0.00,190.89,0.00
104.27.75.231,4,4,0.00,190.94,0.00
104.25.181.173,4,4,0.00,190.95,0.00
104.25.113.37,4,4,0.00,190.96,0.00
104.25.130.1,4,4,0.00,190.96,0.00
172.66.196.148,4,4,0.00,190.99,0.00
104.24.57.245,4,4,0.00,190.99,0.00
104.24.161.122,4,4,0.00,191.00,0.00
104.24.9.116,4,4,0.00,191.02,0.00
172.64.91.36,4,4,0.00,191.05,0.00
172.64.148.104,4,4,0.00,191.09,0.00
104.27.58.49,4,4,0.00,191.09,0.00
